"https://www.zegna.com/us-en/","a11y","WCAG2AA.Principle3.Guideline3_1.3_1_1.H57.2","The html element should have a lang or xml:lang attribute which describes the language of the document.","<html><head><script src=\"//tags.tiqcd...</html>","html"
"https://www.zegna.com/us-en/","a11y","WCAG2AA.Principle2.Guideline2_4.2_4_1.H64.1","Iframe element requires a non-empty title attribute that identifies the frame.","<iframe src=\"about:blank\" title=\"\" style=\"width: 0px; height: 0px; border: 0px; display: none;\"></iframe>","html > head > iframe"
"https://www.zegna.com/us-en/","a11y","WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.A.NoContent","Anchor element found with a valid href attribute, but no link content has been supplied.","<a href=\"#\" data-trap=\"trap\" aria-label=\"close menu\" class=\"country__mobileCloseMenu\"><span class=\"country__closeIcon...</a>","#content > header > div:nth-child(1) > div > a"
"https://www.zegna.com/us-en/","a11y","WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.A.NoContent","Anchor element found with a valid href attribute, but no link content has been supplied.","<a href=\"/it-it/\" aria-label=\"link logo\" class=\"header__linkLogo header__linkLogo--white\"><svg version=\"1.1\" id=\"Livello_...</a>","#content > header > div:nth-child(2) > div:nth-child(1) > div:nth-child(2) > div:nth-child(1) > div:nth-child(2) > a:nth-child(1)"
"https://www.zegna.com/us-en/","a11y","WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.A.NoContent","Anchor element found with a valid href attribute, but no link content has been supplied.","<a href=\"/it-it/\" aria-label=\"link logo\" class=\"header__linkLogo\"><svg version=\"1.1\" id=\"Livello_...</a>","#content > header > div:nth-child(2) > div:nth-child(1) > div:nth-child(2) > div:nth-child(1) > div:nth-child(2) > a:nth-child(2)"
"https://www.zegna.com/us-en/","a11y","WCAG2AA.Principle4.Guideline4_1.4_1_1.F77","Duplicate id attribute value \"Livello_1\" found on the web page.","","#Livello_1"
"https://www.zegna.com/us-en/","a11y","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 1:1. Recommendation: change text colour to #767676.","<span class=\"menu__voice \">New In</span>","#content > header > div:nth-child(2) > div:nth-child(1) > div:nth-child(2) > div:nth-child(1) > ul > li:nth-child(3) > div > a > span"
"https://www.zegna.com/us-en/","a11y","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 1:1. Recommendation: change text colour to #767676.","<span class=\"menu__voice \">Abbigliamento</span>","#content > header > div:nth-child(2) > div:nth-child(1) > div:nth-child(2) > div:nth-child(1) > ul > li:nth-child(4) > div > a > span"
"https://www.zegna.com/us-en/","a11y","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 1:1. Recommendation: change text colour to #767676.","<span class=\"menu__voice \">Scarpe</span>","#content > header > div:nth-child(2) > div:nth-child(1) > div:nth-child(2) > div:nth-child(1) > ul > li:nth-child(5) > div > a > span"
"https://www.zegna.com/us-en/","a11y","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 1:1. Recommendation: change text colour to #767676.","<span class=\"menu__voice \">Accessori</span>","#content > header > div:nth-child(2) > div:nth-child(1) > div:nth-child(2) > div:nth-child(1) > ul > li:nth-child(6) > div > a > span"
"https://www.zegna.com/us-en/","a11y","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 1:1. Recommendation: change text colour to #767676.","<span class=\"menu__voice \">Servizi</span>","#content > header > div:nth-child(2) > div:nth-child(1) > div:nth-child(2) > div:nth-child(1) > ul > li:nth-child(7) > div > a > span"
"https://www.zegna.com/us-en/","a11y","WCAG2AA.Principle1.Guideline1_1.1_1_1.H37","Img element missing an alt attribute. Use the alt attribute to specify a short text alternative.","<img data-src=\"/content/dam/zegna-commerce/editorials/ratio15/menu/store-locator-menu.jpg\" class=\"picture__img  \" src=\"/content/dam/zegna-commerce/editorials/ratio15/menu/store-locator-menu.jpg\">","#content > header > div:nth-child(2) > div:nth-child(1) > div:nth-child(2) > div:nth-child(1) > ul > li:nth-child(7) > div > div > div:nth-child(2) > div:nth-child(2) > div > div > div > div:nth-child(1) > div > div > picture > img"
"https://www.zegna.com/us-en/","a11y","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 1:1. Recommendation: change text colour to #767676.","<span class=\"menu__voice \">Il Nostro Mondo </span>","#content > header > div:nth-child(2) > div:nth-child(1) > div:nth-child(2) > div:nth-child(1) > ul > li:nth-child(8) > div > a > span"
